Time (s),Speed (m/s)
0.0,0.0
0.002404809619238477,0.028291877873393843
0.004809619238476954,0.05654945158877613
0.00721442885771543,0.08477276274024895
0.009619238476953907,0.1129618528714812
0.012024048096192385,0.14111676347576965
0.01442885771543086,0.1692375359961001
0.016833667334669337,0.19732421182520843
0.019238476953907815,0.22537683230564132
0.021643286573146292,0.2533954387298173
0.02404809619238477,0.28138007234008744
0.026452905811623247,0.3093307743287962
0.02885771543086172,0.33724758583834175
0.0312625250501002,0.365130547961237
0.033667334669338675,0.3929797017401695
0.036072144288577156,0.42079508816806244
0.03847695390781563,0.4485767481881345
0.0408817635270541,0.4763247226939605
0.043286573146292584,0.5040390525295314
0.04569138276553106,0.5317197784893144
0.04809619238476954,0.5593669413183131
0.05050100200400801,0.5869805817121273
0.05290581162324649,0.6145607403170132
0.05531062124248497,0.6421074577299428
0.05771543086172344,0.6696207744986642
0.06012024048096192,0.6971007311217607
0.0625250501002004,0.724547368048711
0.06492985971943888,0.7519607256799481
0.06733466933867735,0.7793408443669194
0.06973947895791582,0.8066877644121456
0.07214428857715431,0.8340015260692806
0.07454909819639279,0.8612821695431697
0.07695390781563126,0.8885297349899101
0.07935871743486973,0.915744262516909
0.0817635270541082,0.9429257921829433
0.0841683366733467,0.9700743639982181
0.08657314629258517,0.996713946262389
0.08897795591182364,1.0225922638612581
0.09138276553106212,1.0477310710357475
0.0937875751503006,1.072151500367822
0.09619238476953908,1.095874080545294
0.09859719438877755,1.1189187536189753
0.10100200400801602,1.1413048917666784
0.1034068136272545,1.1630513135781637
0.10581162324649299,1.18417629987472
0.10821643286573146,1.2046976090766777
0.11062124248496993,1.2246324921317737
0.11302605210420841,1.2439977070169157
0.11543086172344688,1.2628095328255382
0.11783567134268537,1.2810837834523916
0.12024048096192384,1.2988358208872683
0.12264529058116232,1.3160805681288428
0.1250501002004008,1.3328325217294776
0.12745490981963928,1.3491057639815456
0.12985971943887775,1.364913974755509
0.13226452905811623,1.3802704429997088
0.1346693386773547,1.3951880779115309
0.13707414829659317,1.4096794197893396
0.13947895791583165,1.423756650574302
0.14188376753507012,1.4374316040909643
0.14428857715430862,1.450715775995188
0.1466933867735471,1.4636203334378113
0.14909819639278557,1.4761561244521544
0.15150300601202404,1.488333687073267
0.15390781563126252,1.500163258196577
0.156312625250501,1.5116547821833908
0.15871743486973947,1.5228179192204816
0.16112224448897794,1.5336620534407868
0.1635270541082164,1.5441963008120474
0.16593186372745491,1.5544295168000168
0.1683366733466934,1.564370303812682
0.17074148296593186,1.5740270184317566
0.17314629258517034,1.583407778437523
0.1755511022044088,1.5925204696329283
0.17795591182364728,1.6013727524726742
0.18036072144288576,1.6099720685028684
0.18276553106212423,1.6183256466166558
0.1851703406813627,1.626440509131084
0.1875751503006012,1.6343234776903162
0.18997995991983968,1.6419811790001477
0.19238476953907815,1.649420050398654
0.19478957915831663,1.6566463452676468
0.1971943887775551,1.663666138289491
0.19959919839679358,1.6704853305537006
0.20200400801603205,1.6771096545176056
0.20440881763527052,1.6835446788252615
0.206813627254509,1.6897958129886501
0.2092184368737475,1.6958683119351101
0.21162324649298597,1.7017672804248165
0.21402805611222445,1.7074976773420256
0.21643286573146292,1.7130643198636903
0.2188376753507014,1.7184718875089517
0.22124248496993987,1.7237249260729106
0.22364729458917834,1.7288278514479856
0.22605210420841682,1.7337849533360705
0.2284569138276553,1.738600398854612
0.23086172344689376,1.7432782360396368
0.23326653306613226,1.7478223972486768
0.23567134268537074,1.752236702466449
0.2380761523046092,1.7565248625160714
0.24048096192384769,1.760690482178515
0.24288577154308616,1.7647370632229105
0.24529058116232463,1.7686680073502616
0.2476953907815631,1.7724866190530366
0.2501002004008016,1.7761961083930433
0.25250501002004005,1.7797995936999214
0.25490981963927856,1.783300104192523
0.257314629258517,1.7867005825253814
0.2597194388777555,1.7900038872624133
0.26212424849699395,1.7932127952799286
0.26452905811623245,1.7963300041009733
0.26693386773547095,1.7993581341629634
0.2693386773547094,1.8022997310205182
0.2717434869739479,1.8051572674853458
0.27414829659318635,1.8079331457049759
0.27655310621242485,1.810629699182092
0.2789579158316633,1.813249194736157
0.2813627254509018,1.815793834408983
0.28376753507014024,1.8182657573158463
0.28617234468937874,1.8206670414437045
0.28857715430861725,1.822999705398027
0.2909819639278557,1.8252657100997065
0.2933867735470942,1.8274669604334801
0.29579158316633264,1.8296053068492428
0.29819639278557114,1.831682546917603
0.3006012024048096,1.8337004268409838
0.3030060120240481,1.8356606429215439
0.30541082164328653,1.8375648429871496
0.30781563126252504,1.8394146277765984
0.31022044088176354,1.8412115522852568
0.312625250501002,1.8429571270722458
0.3150300601202405,1.8446528195302705
0.31743486973947893,1.8463000551191628
0.31983967935871743,1.8479002185641749
0.3222444889779559,1.8494546550200277
0.3246492985971944,1.8509646712016976
0.3270541082164328,1.8524315364828863
0.3294589178356713,1.853856483963103
0.33186372745490983,1.8552407115042517
0.3342685370741483,1.8565853827375962
0.3366733466933868,1.857891628041951
0.3390781563126252,1.8591605454939184
0.3414829659318637,1.8603932017909703
0.34388777555110217,1.8615906331481527
0.34629258517034067,1.8627538461691648
0.3486973947895791,1.863883818692547
0.3511022044088176,1.864981500613686
0.3535070140280561,1.866047814683332
0.35591182364729457,1.8670836572832945
0.35831663326653307,1.868089899179975
0.3607214428857715,1.8690673862563623
0.36312625250501,1.8700169402231135
0.36553106212424846,1.870939359309313
0.36793587174348696,1.8718354189334927
0.3703406813627254,1.8727058723554755
0.3727454909819639,1.873551451309594
0.3751503006012024,1.874372866619812
